CustomerID,source_prod,CompanyName,City,Country
1,ACCESS,Company A,Seattle,USA
10,ACCESS,Company J,Chicago,USA
11,ACCESS,Company K,Miami,USA
12,ACCESS,Company L,Las Vegas,USA
13,ACCESS,Company M,Memphis,USA
14,ACCESS,Company N,Denver,USA
15,ACCESS,Company O,Honolulu,USA
16,ACCESS,Company P,San Francisco,USA
17,ACCESS,Company Q,Seattle,USA
18,ACCESS,Company R,Boston,USA
19,ACCESS,Company S,Los Angelas,USA
2,ACCESS,Company B,Boston,USA
20,ACCESS,Company T,New York,USA
21,ACCESS,Company U,Minneapolis,USA
22,ACCESS,Company V,Milwaukee,USA
23,ACCESS,Company W,Portland,USA
24,ACCESS,Company X,Salt Lake City,USA
25,ACCESS,Company Y,Chicago,USA
26,ACCESS,Company Z,Miami,USA
27,ACCESS,Company AA,Las Vegas,USA
28,ACCESS,Company BB,Memphis,USA
29,ACCESS,Company CC,Denver,USA
3,ACCESS,Company C,Los Angelas,USA
4,ACCESS,Company D,New York,USA
5,ACCESS,Company E,Minneapolis,USA
6,ACCESS,Company F,Milwaukee,USA
7,ACCESS,Company G,Boise,USA
8,ACCESS,Company H,Portland,USA
9,ACCESS,Company I,Salt Lake City,USA
