id_temps,annee,mois_annee
1,1996,1996-01
2,1996,1996-02
3,1996,1996-03
4,1996,1996-04
5,1996,1996-05
6,1996,1996-06
7,1996,1996-07
8,1996,1996-08
9,1996,1996-09
10,1996,1996-10
11,1996,1996-11
12,1996,1996-12
13,1997,1997-01
14,1997,1997-02
15,1997,1997-03
16,1997,1997-04
17,1997,1997-05
18,1997,1997-06
19,1997,1997-07
20,1997,1997-08
21,1997,1997-09
22,1997,1997-10
23,1997,1997-11
24,1997,1997-12
25,1998,1998-01
26,1998,1998-02
27,1998,1998-03
28,1998,1998-04
29,1998,1998-05
30,1998,1998-06
31,1998,1998-07
32,1998,1998-08
33,1998,1998-09
34,1998,1998-10
35,1998,1998-11
36,1998,1998-12
37,1999,1999-01
38,1999,1999-02
39,1999,1999-03
40,1999,1999-04
41,1999,1999-05
42,1999,1999-06
43,1999,1999-07
44,1999,1999-08
45,1999,1999-09
46,1999,1999-10
47,1999,1999-11
48,1999,1999-12
49,2000,2000-01
50,2000,2000-02
51,2000,2000-03
52,2000,2000-04
53,2000,2000-05
54,2000,2000-06
55,2000,2000-07
56,2000,2000-08
57,2000,2000-09
58,2000,2000-10
59,2000,2000-11
60,2000,2000-12
61,2001,2001-01
62,2001,2001-02
63,2001,2001-03
64,2001,2001-04
65,2001,2001-05
66,2001,2001-06
67,2001,2001-07
68,2001,2001-08
69,2001,2001-09
70,2001,2001-10
71,2001,2001-11
72,2001,2001-12
73,2002,2002-01
74,2002,2002-02
75,2002,2002-03
76,2002,2002-04
77,2002,2002-05
78,2002,2002-06
79,2002,2002-07
80,2002,2002-08
81,2002,2002-09
82,2002,2002-10
83,2002,2002-11
84,2002,2002-12
85,2003,2003-01
86,2003,2003-02
87,2003,2003-03
88,2003,2003-04
89,2003,2003-05
90,2003,2003-06
91,2003,2003-07
92,2003,2003-08
93,2003,2003-09
94,2003,2003-10
95,2003,2003-11
96,2003,2003-12
97,2004,2004-01
98,2004,2004-02
99,2004,2004-03
100,2004,2004-04
101,2004,2004-05
102,2004,2004-06
103,2004,2004-07
104,2004,2004-08
105,2004,2004-09
106,2004,2004-10
107,2004,2004-11
108,2004,2004-12
109,2005,2005-01
110,2005,2005-02
111,2005,2005-03
112,2005,2005-04
113,2005,2005-05
114,2005,2005-06
115,2005,2005-07
116,2005,2005-08
117,2005,2005-09
118,2005,2005-10
119,2005,2005-11
120,2005,2005-12
121,2006,2006-01
122,2006,2006-02
123,2006,2006-03
124,2006,2006-04
125,2006,2006-05
126,2006,2006-06
127,2006,2006-07
128,2006,2006-08
129,2006,2006-09
130,2006,2006-10
131,2006,2006-11
132,2006,2006-12
133,2007,2007-01
134,2007,2007-02
135,2007,2007-03
136,2007,2007-04
137,2007,2007-05
138,2007,2007-06
139,2007,2007-07
140,2007,2007-08
141,2007,2007-09
142,2007,2007-10
143,2007,2007-11
144,2007,2007-12
145,2008,2008-01
146,2008,2008-02
147,2008,2008-03
148,2008,2008-04
149,2008,2008-05
150,2008,2008-06
151,2008,2008-07
152,2008,2008-08
153,2008,2008-09
154,2008,2008-10
155,2008,2008-11
156,2008,2008-12
157,2009,2009-01
158,2009,2009-02
159,2009,2009-03
160,2009,2009-04
161,2009,2009-05
162,2009,2009-06
163,2009,2009-07
164,2009,2009-08
165,2009,2009-09
166,2009,2009-10
167,2009,2009-11
168,2009,2009-12
169,2010,2010-01
170,2010,2010-02
171,2010,2010-03
172,2010,2010-04
173,2010,2010-05
174,2010,2010-06
175,2010,2010-07
176,2010,2010-08
177,2010,2010-09
178,2010,2010-10
179,2010,2010-11
180,2010,2010-12
