OrderID,CustomerID,EmployeeID,OrderDate,ShippedDate,orderdate_mois_annee
30,27,9a,1/15/2006,2006-01-22 00:00:00,2006-01
31,4,3a,1/20/2006,2006-01-22 00:00:00,2006-01
32,12,4a,1/22/2006,2006-01-22 00:00:00,2006-01
33,8,6a,1/30/2006,2006-01-31 00:00:00,2006-01
34,4,9a,2/6/2006,2006-02-07 00:00:00,2006-02
35,29,3a,2/10/2006,2006-02-12 00:00:00,2006-02
36,3,4a,2/23/2006,2006-02-25 00:00:00,2006-02
37,6,8a,3/6/2006,2006-03-09 00:00:00,2006-03
38,28,9a,3/10/2006,2006-03-11 00:00:00,2006-03
39,8,3a,3/22/2006,2006-03-24 00:00:00,2006-03
40,10,4a,3/24/2006,2006-03-24 00:00:00,2006-03
41,7,1a,3/24/2006,,2006-03
42,10,1a,3/24/2006,2006-04-07 00:00:00,2006-03
43,11,1a,3/24/2006,,2006-03
44,1,1a,3/24/2006,,2006-03
45,28,1a,4/7/2006,2006-04-07 00:00:00,2006-04
46,9,7a,4/5/2006,2006-04-05 00:00:00,2006-04
47,6,6a,4/8/2006,2006-04-08 00:00:00,2006-04
48,8,4a,4/5/2006,2006-04-05 00:00:00,2006-04
50,25,9a,4/5/2006,2006-04-05 00:00:00,2006-04
51,26,9a,4/5/2006,2006-04-05 00:00:00,2006-04
55,29,1a,4/5/2006,2006-04-05 00:00:00,2006-04
56,6,2a,4/3/2006,2006-04-03 00:00:00,2006-04
57,27,9a,4/22/2006,2006-04-22 00:00:00,2006-04
58,4,3a,4/22/2006,2006-04-22 00:00:00,2006-04
59,12,4a,4/22/2006,2006-04-22 00:00:00,2006-04
60,8,6a,4/30/2006,2006-04-30 00:00:00,2006-04
61,4,9a,4/7/2006,2006-04-07 00:00:00,2006-04
62,29,3a,4/12/2006,2006-04-12 00:00:00,2006-04
63,3,4a,4/25/2006,2006-04-25 00:00:00,2006-04
64,6,8a,5/9/2006,2006-05-09 00:00:00,2006-05
65,28,9a,5/11/2006,2006-05-11 00:00:00,2006-05
66,8,3a,5/24/2006,2006-05-24 00:00:00,2006-05
67,10,4a,5/24/2006,2006-05-24 00:00:00,2006-05
68,7,1a,5/24/2006,,2006-05
69,10,1a,5/24/2006,,2006-05
70,11,1a,5/24/2006,,2006-05
71,1,1a,5/24/2006,,2006-05
72,28,1a,6/7/2006,2006-06-07 00:00:00,2006-06
73,9,7a,6/5/2006,2006-06-05 00:00:00,2006-06
74,6,6a,6/8/2006,2006-06-08 00:00:00,2006-06
75,8,4a,6/5/2006,2006-06-05 00:00:00,2006-06
76,25,9a,6/5/2006,2006-06-05 00:00:00,2006-06
77,26,9a,6/5/2006,2006-06-05 00:00:00,2006-06
78,29,1a,6/5/2006,2006-06-05 00:00:00,2006-06
79,6,2a,6/23/2006,2006-06-23 00:00:00,2006-06
80,4,2a,4/25/2006 5:03:55 PM,,2006-04
81,3,2a,4/25/2006 5:26:53 PM,,2006-04
