id_seqFait,id_temps,id_seqEmployee,id_seqClient,nb_commandes_livrees,nb_commandes_non_livrees
1,7,17,85,1,0
2,7,18,85,1,0
3,7,19,85,1,0
4,7,20,85,1,0
5,7,21,85,1,0
6,7,22,85,1,0
7,7,23,85,1,0
8,7,17,14,1,0
9,7,18,14,1,0
10,7,19,14,1,0
11,7,20,14,1,0
12,7,21,14,1,0
13,7,22,14,1,0
14,7,23,14,1,0
15,7,17,89,1,0
16,7,18,89,1,0
17,7,19,89,1,0
18,7,20,89,1,0
19,7,21,89,1,0
20,7,22,89,1,0
21,7,23,89,1,0
22,7,1,20,1,0
23,7,2,20,1,0
24,7,24,79,1,0
25,7,25,79,1,0
26,7,26,79,1,0
27,7,27,79,1,0
28,7,28,79,1,0
29,7,24,24,1,0
30,7,25,24,1,0
31,7,26,24,1,0
32,7,27,24,1,0
33,7,28,24,1,0
34,7,3,7,1,0
35,7,4,7,1,0
36,7,5,7,1,0
37,7,6,7,1,0
38,7,7,7,1,0
39,7,8,7,1,0
40,7,9,7,1,0
41,7,14,34,1,0
42,7,15,34,1,0
43,7,16,34,1,0
44,7,14,76,1,0
45,7,15,76,1,0
46,7,16,76,1,0
47,7,14,35,1,0
48,7,15,35,1,0
49,7,16,35,1,0
50,7,14,13,1,0
51,7,15,13,1,0
52,7,16,13,1,0
53,7,14,56,1,0
54,7,15,56,1,0
55,7,16,56,1,0
56,7,14,61,1,0
57,7,15,61,1,0
58,7,16,61,1,0
59,8,1,87,1,0
60,8,2,87,1,0
61,8,24,85,1,0
62,8,25,85,1,0
63,8,26,85,1,0
64,8,27,85,1,0
65,8,28,85,1,0
66,8,24,61,1,0
67,8,25,61,1,0
68,8,26,61,1,0
69,8,27,61,1,0
70,8,28,61,1,0
71,8,24,65,1,0
72,8,25,65,1,0
73,8,26,65,1,0
74,8,27,65,1,0
75,8,28,65,1,0
76,8,24,75,1,0
77,8,25,75,1,0
78,8,26,75,1,0
79,8,27,75,1,0
80,8,28,75,1,0
81,8,3,5,1,0
82,8,4,5,1,0
83,8,5,5,1,0
84,8,6,5,1,0
85,8,7,5,1,0
86,8,8,5,1,0
87,8,9,5,1,0
88,8,29,11,1,0
89,8,30,11,1,0
90,8,31,11,1,0
91,8,32,11,1,0
92,8,33,11,1,0
93,8,34,11,1,0
94,8,35,11,1,0
95,8,36,11,1,0
96,8,37,11,1,0
97,8,38,11,1,0
98,8,14,65,1,0
99,8,15,65,1,0
100,8,16,65,1,0
101,9,17,7,1,0
102,9,18,7,1,0
103,9,19,7,1,0
104,9,20,7,1,0
105,9,21,7,1,0
106,9,22,7,1,0
107,9,23,7,1,0
108,9,1,65,2,0
109,9,2,65,2,0
110,9,1,18,1,0
111,9,2,18,1,0
112,9,3,85,1,0
113,9,4,85,1,0
114,9,5,85,1,0
115,9,6,85,1,0
116,9,7,85,1,0
117,9,8,85,1,0
118,9,9,85,1,0
119,9,29,2,1,0
120,9,30,2,1,0
121,9,31,2,1,0
122,9,32,2,1,0
123,9,33,2,1,0
124,9,34,2,1,0
125,9,35,2,1,0
126,9,36,2,1,0
127,9,37,2,1,0
128,9,38,2,1,0
129,9,14,76,1,0
130,9,15,76,1,0
131,9,16,76,1,0
132,10,17,87,2,0
133,10,18,87,2,0
134,10,19,87,2,0
135,10,20,87,2,0
136,10,21,87,2,0
137,10,22,87,2,0
138,10,23,87,2,0
139,10,1,9,1,0
140,10,2,9,1,0
141,10,3,24,1,0
142,10,4,24,1,0
143,10,5,24,1,0
144,10,6,24,1,0
145,10,7,24,1,0
146,10,8,24,1,0
147,10,9,24,1,0
148,10,14,8,1,0
149,10,15,8,1,0
150,10,16,8,1,0
151,11,1,20,1,0
152,11,2,20,1,0
153,11,1,19,1,0
154,11,2,19,1,0
155,11,24,4,1,0
156,11,25,4,1,0
157,11,26,4,1,0
158,11,27,4,1,0
159,11,28,4,1,0
160,11,3,20,1,0
161,11,4,20,1,0
162,11,5,20,1,0
163,11,6,20,1,0
164,11,7,20,1,0
165,11,8,20,1,0
166,11,9,20,1,0
167,11,14,7,1,0
168,11,15,7,1,0
169,11,16,7,1,0
170,11,14,17,1,0
171,11,15,17,1,0
172,11,16,17,1,0
173,7,14,25,1,0
174,7,15,25,1,0
175,7,16,25,1,0
176,10,14,25,2,0
177,10,15,25,2,0
178,10,16,25,2,0
179,11,14,21,1,0
180,11,15,21,1,0
181,11,16,21,1,0
182,11,14,89,1,0
183,11,15,89,1,0
184,11,16,89,1,0
185,7,10,34,1,0
186,7,11,34,1,0
187,7,12,34,1,0
188,7,13,34,1,0
189,11,10,3,1,0
190,11,11,3,1,0
191,11,12,3,1,0
192,11,13,3,1,0
193,7,10,84,1,0
194,7,11,84,1,0
195,7,12,84,1,0
196,7,13,84,1,0
197,7,10,88,1,0
198,7,11,88,1,0
199,7,12,88,1,0
200,7,13,88,1,0
201,11,10,9,1,0
202,11,11,9,1,0
203,11,12,9,1,0
204,11,13,9,1,0
205,11,10,65,1,0
206,11,11,65,1,0
207,11,12,65,1,0
208,11,13,65,1,0
209,7,10,87,1,0
210,7,11,87,1,0
211,7,12,87,1,0
212,7,13,87,1,0
213,10,39,84,1,0
214,10,40,84,1,0
215,10,41,84,1,0
216,10,42,84,1,0
217,8,39,5,1,0
218,8,40,5,1,0
219,8,41,5,1,0
220,8,42,5,1,0
221,7,39,65,1,0
222,7,40,65,1,0
223,7,41,65,1,0
224,7,42,65,1,0
225,8,39,15,1,0
226,8,40,15,1,0
227,8,41,15,1,0
228,8,42,15,1,0
229,7,39,33,1,0
230,7,40,33,1,0
231,7,41,33,1,0
232,7,42,33,1,0
233,7,43,68,1,0
234,7,44,68,1,0
235,7,45,68,1,0
236,7,46,68,1,0
237,7,47,68,1,0
238,7,48,68,1,0
239,7,49,68,1,0
240,10,43,9,1,0
241,10,44,9,1,0
242,10,45,9,1,0
243,10,46,9,1,0
244,10,47,9,1,0
245,10,48,9,1,0
246,10,49,9,1,0
247,7,43,20,1,0
248,7,44,20,1,0
249,7,45,20,1,0
250,7,46,20,1,0
251,7,47,20,1,0
252,7,48,20,1,0
253,7,49,20,1,0
254,10,14,75,1,0
255,10,15,75,1,0
256,10,16,75,1,0
257,11,29,75,1,0
258,11,30,75,1,0
259,11,31,75,1,0
260,11,32,75,1,0
261,11,33,75,1,0
262,11,34,75,1,0
263,11,35,75,1,0
264,11,36,75,1,0
265,11,37,75,1,0
266,11,38,75,1,0
267,8,10,63,1,0
268,8,11,63,1,0
269,8,12,63,1,0
270,8,13,63,1,0
271,8,1,63,1,0
272,8,2,63,1,0
273,8,39,63,1,0
274,8,40,63,1,0
275,8,41,63,1,0
276,8,42,63,1,0
277,9,3,63,1,0
278,9,4,63,1,0
279,9,5,63,1,0
280,9,6,63,1,0
281,9,7,63,1,0
282,9,8,63,1,0
283,9,9,63,1,0
284,11,3,63,1,0
285,11,4,63,1,0
286,11,5,63,1,0
287,11,6,63,1,0
288,11,7,63,1,0
289,11,8,63,1,0
290,11,9,63,1,0
291,11,1,63,1,0
292,11,2,63,1,0
293,8,1,49,1,0
294,8,2,49,1,0
295,9,3,49,1,0
296,9,4,49,1,0
297,9,5,49,1,0
298,9,6,49,1,0
299,9,7,49,1,0
300,9,8,49,1,0
301,9,9,49,1,0
302,10,14,28,1,0
303,10,15,28,1,0
304,10,16,28,1,0
305,11,10,28,1,0
306,11,11,28,1,0
307,11,12,28,1,0
308,11,13,28,1,0
309,8,39,80,1,0
310,8,40,80,1,0
311,8,41,80,1,0
312,8,42,80,1,0
313,8,1,80,1,0
314,8,2,80,1,0
315,9,1,80,1,0
316,9,2,80,1,0
317,10,29,80,1,0
318,10,30,80,1,0
319,10,31,80,1,0
320,10,32,80,1,0
321,10,33,80,1,0
322,10,34,80,1,0
323,10,35,80,1,0
324,10,36,80,1,0
325,10,37,80,1,0
326,10,38,80,1,0
327,11,39,29,1,0
328,11,40,29,1,0
329,11,41,29,1,0
330,11,42,29,1,0
331,8,3,52,1,0
332,8,4,52,1,0
333,8,5,52,1,0
334,8,6,52,1,0
335,8,7,52,1,0
336,8,8,52,1,0
337,8,9,52,1,0
338,9,29,30,1,0
339,9,30,30,1,0
340,9,31,30,1,0
341,9,32,30,1,0
342,9,33,30,1,0
343,9,34,30,1,0
344,9,35,30,1,0
345,9,36,30,1,0
346,9,37,30,1,0
347,9,38,30,1,0
348,8,39,44,1,0
349,8,40,44,1,0
350,8,41,44,1,0
351,8,42,44,1,0
352,8,14,44,1,0
353,8,15,44,1,0
354,8,16,44,1,0
355,10,14,44,1,0
356,10,15,44,1,0
357,10,16,44,1,0
358,8,14,69,2,0
359,8,15,69,2,0
360,8,16,69,2,0
361,9,1,69,1,0
362,9,2,69,1,0
363,8,10,46,1,0
364,8,11,46,1,0
365,8,12,46,1,0
366,8,13,46,1,0
367,9,24,46,1,0
368,9,25,46,1,0
369,9,26,46,1,0
370,9,27,46,1,0
371,9,28,46,1,0
372,10,10,46,1,0
373,10,11,46,1,0
374,10,12,46,1,0
375,10,13,46,1,0
376,11,1,46,1,0
377,11,2,46,1,0
378,9,24,37,1,0
379,9,25,37,1,0
380,9,26,37,1,0
381,9,27,37,1,0
382,9,28,37,1,0
383,9,10,37,1,0
384,9,11,37,1,0
385,9,12,37,1,0
386,9,13,37,1,0
387,10,29,37,1,0
388,10,30,37,1,0
389,10,31,37,1,0
390,10,32,37,1,0
391,10,33,37,1,0
392,10,34,37,1,0
393,10,35,37,1,0
394,10,36,37,1,0
395,10,37,37,1,0
396,10,38,37,1,0
397,9,14,38,1,0
398,9,15,38,1,0
399,9,16,38,1,0
400,10,39,38,1,0
401,10,40,38,1,0
402,10,41,38,1,0
403,10,42,38,1,0
404,10,10,38,1,0
405,10,11,38,1,0
406,10,12,38,1,0
407,10,13,38,1,0
408,10,14,39,1,0
409,10,15,39,1,0
410,10,16,39,1,0
411,10,1,39,1,0
412,10,2,39,1,0
413,8,39,67,1,0
414,8,40,67,1,0
415,8,41,67,1,0
416,8,42,67,1,0
417,9,14,67,1,0
418,9,15,67,1,0
419,9,16,67,1,0
420,8,14,66,1,0
421,8,15,66,1,0
422,8,16,66,1,0
423,11,24,41,1,0
424,11,25,41,1,0
425,11,26,41,1,0
426,11,27,41,1,0
427,11,28,41,1,0
428,11,17,41,1,0
429,11,18,41,1,0
430,11,19,41,1,0
431,11,20,41,1,0
432,11,21,41,1,0
433,11,22,41,1,0
434,11,23,41,1,0
435,8,1,81,1,0
436,8,2,81,1,0
437,9,3,48,1,0
438,9,4,48,1,0
439,9,5,48,1,0
440,9,6,48,1,0
441,9,7,48,1,0
442,9,8,48,1,0
443,9,9,48,1,0
444,9,24,48,1,0
445,9,25,48,1,0
446,9,26,48,1,0
447,9,27,48,1,0
448,9,28,48,1,0
449,10,10,51,1,0
450,10,11,51,1,0
451,10,12,51,1,0
452,10,13,51,1,0
453,10,3,51,1,0
454,10,4,51,1,0
455,10,5,51,1,0
456,10,6,51,1,0
457,10,7,51,1,0
458,10,8,51,1,0
459,10,9,51,1,0
460,9,39,86,1,0
461,9,40,86,1,0
462,9,41,86,1,0
463,9,42,86,1,0
464,9,3,86,1,0
465,9,4,86,1,0
466,9,5,86,1,0
467,9,6,86,1,0
468,9,7,86,1,0
469,9,8,86,1,0
470,9,9,86,1,0
471,11,14,86,1,0
472,11,15,86,1,0
473,11,16,86,1,0
474,11,24,86,1,0
475,11,25,86,1,0
476,11,26,86,1,0
477,11,27,86,1,0
478,11,28,86,1,0
479,9,39,55,1,0
480,9,40,55,1,0
481,9,41,55,1,0
482,9,42,55,1,0
483,10,14,55,1,0
484,10,15,55,1,0
485,10,16,55,1,0
486,10,29,58,1,0
487,10,30,58,1,0
488,10,31,58,1,0
489,10,32,58,1,0
490,10,33,58,1,0
491,10,34,58,1,0
492,10,35,58,1,0
493,10,36,58,1,0
494,10,37,58,1,0
495,10,38,58,1,0
496,11,39,58,1,0
497,11,40,58,1,0
498,11,41,58,1,0
499,11,42,58,1,0
500,11,29,59,1,0
501,11,30,59,1,0
502,11,31,59,1,0
503,11,32,59,1,0
504,11,33,59,1,0
505,11,34,59,1,0
506,11,35,59,1,0
507,11,36,59,1,0
508,11,37,59,1,0
509,11,38,59,1,0
510,10,29,60,1,0
511,10,30,60,1,0
512,10,31,60,1,0
513,10,32,60,1,0
514,10,33,60,1,0
515,10,34,60,1,0
516,10,35,60,1,0
517,10,36,60,1,0
518,10,37,60,1,0
519,10,38,60,1,0
520,9,39,77,1,0
521,9,40,77,1,0
522,9,41,77,1,0
523,9,42,77,1,0
524,10,43,71,1,0
525,10,44,71,1,0
526,10,45,71,1,0
527,10,46,71,1,0
528,10,47,71,1,0
529,10,48,71,1,0
530,10,49,71,1,0
531,11,17,72,1,0
532,11,18,72,1,0
533,11,19,72,1,0
534,11,20,72,1,0
535,11,21,72,1,0
536,11,22,72,1,0
537,11,23,72,1,0
538,10,29,73,1,0
539,10,30,73,1,0
540,10,31,73,1,0
541,10,32,73,1,0
542,10,33,73,1,0
543,10,34,73,1,0
544,10,35,73,1,0
545,10,36,73,1,0
546,10,37,73,1,0
547,10,38,73,1,0
548,11,29,83,1,0
549,11,30,83,1,0
